kode_wilayah,wilayah,provinsi,level,tahun,hls,rls,ahh,pengeluaran
1112,Aceh Barat Daya,ACEH,kab_kota,2044,14.7133,11.3971,68.9541,14119.7723
1112,Aceh Barat Daya,ACEH,kab_kota,2045,14.7667,11.5191,69.12,14340.7077
1113,Gayo Lues,ACEH,kab_kota,2025,,,66.1616,
1113,Gayo Lues,ACEH,kab_kota,2026,14.868,8.9607,66.2915,10565.846
1113,Gayo Lues,ACEH,kab_kota,2027,15.006,9.1713,66.4214,10894.6921
1113,Gayo Lues,ACEH,kab_kota,2028,15.144,9.382,66.5513,11223.5381
1113,Gayo Lues,ACEH,kab_kota,2029,15.282,9.5927,66.6812,11552.3841
1113,Gayo Lues,ACEH,kab_kota,2030,15.42,9.8033,66.8111,11881.2302
1113,Gayo Lues,ACEH,kab_kota,2031,15.558,10.014,66.9411,12210.0762
1113,Gayo Lues,ACEH,kab_kota,2032,15.696,10.2247,67.071,12538.9222
1113,Gayo Lues,ACEH,kab_kota,2033,15.834,10.4353,67.2009,12867.7683
1113,Gayo Lues,ACEH,kab_kota,2034,15.972,10.646,67.3308,13196.6143
1113,Gayo Lues,ACEH,kab_kota,2035,16.11,10.8567,67.4607,13525.4603
1113,Gayo Lues,ACEH,kab_kota,2036,16.248,11.0673,67.5906,13854.3064
1113,Gayo Lues,ACEH,kab_kota,2037,16.386,11.278,67.7206,14183.1524
1113,Gayo Lues,ACEH,kab_kota,2038,16.524,11.4887,67.8505,14511.9984
1113,Gayo Lues,ACEH,kab_kota,2039,16.662,11.6993,67.9804,14840.8445
1113,Gayo Lues,ACEH,kab_kota,2040,16.8,11.91,68.1103,15169.6905
1113,Gayo Lues,ACEH,kab_kota,2041,16.938,12.1207,68.2402,15498.5365
1113,Gayo Lues,ACEH,kab_kota,2042,17.076,12.3313,68.3702,15827.3826
1113,Gayo Lues,ACEH,kab_kota,2043,17.214,12.542,68.5001,16156.2286
1113,Gayo Lues,ACEH,kab_kota,2044,17.352,12.7527,68.63,16485.0746
1113,Gayo Lues,ACEH,kab_kota,2045,17.49,12.9633,68.7599,16813.9207
1114,Aceh Tamiang,ACEH,kab_kota,2025,,,70.3249,
1114,Aceh Tamiang,ACEH,kab_kota,2026,14.6727,9.5407,70.4421,10389.6347
1114,Aceh Tamiang,ACEH,kab_kota,2027,14.8253,9.6613,70.5594,10832.2674
1114,Aceh Tamiang,ACEH,kab_kota,2028,14.978,9.782,70.6766,11274.9001
1114,Aceh Tamiang,ACEH,kab_kota,2029,15.1307,9.9027,70.7938,11717.5328
1114,Aceh Tamiang,ACEH,kab_kota,2030,15.2833,10.0233,70.911,12160.1655
1114,Aceh Tamiang,ACEH,kab_kota,2031,15.436,10.144,71.0282,12602.7982
1114,Aceh Tamiang,ACEH,kab_kota,2032,15.5887,10.2647,71.1455,13045.4309
1114,Aceh Tamiang,ACEH,kab_kota,2033,15.7413,10.3853,71.2627,13488.0636
1114,Aceh Tamiang,ACEH,kab_kota,2034,15.894,10.506,71.3799,13930.6963
1114,Aceh Tamiang,ACEH,kab_kota,2035,16.0467,10.6267,71.4971,14373.329
1114,Aceh Tamiang,ACEH,kab_kota,2036,16.1993,10.7473,71.6143,14815.9617
1114,Aceh Tamiang,ACEH,kab_kota,2037,16.352,10.868,71.7315,15258.5944
1114,Aceh Tamiang,ACEH,kab_kota,2038,16.5047,10.9887,71.8488,15701.2272
1114,Aceh Tamiang,ACEH,kab_kota,2039,16.6573,11.1093,71.966,16143.8599
1114,Aceh Tamiang,ACEH,kab_kota,2040,16.81,11.23,72.0832,16586.4926
